,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8
2016-6,211.00,0.58,0.37,0.28,0.26,0.26,0.18,0.09,0.22,0.19,0.17,0.07,0.07,0.06,0.04
2016-7,0.00,89.00,0.40,0.19,0.16,0.12,0.09,0.02,0.09,0.08,0.06,0.02,0.02,0.01,0.00
2016-8,0.00,0.00,66.00,0.59,0.45,0.44,0.32,0.35,0.33,0.32,0.29,0.26,0.24,0.24,0.17
2016-9,0.00,0.00,0.00,85.00,0.80,0.40,0.35,0.34,0.16,0.18,0.20,0.16,0.19,0.19,0.12
2016-10,0.00,0.00,0.00,0.00,78.00,0.71,0.65,0.56,0.62,0.50,0.50,0.44,0.44,0.41,0.29
2016-11,0.00,0.00,0.00,0.00,0.00,258.00,0.46,0.44,0.42,0.38,0.33,0.27,0.29,0.22,0.15
2016-12,0.00,0.00,0.00,0.00,0.00,0.00,44.00,0.50,0.34,0.30,0.18,0.20,0.18,0.16,0.09
2017-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.00,0.65,0.56,0.51,0.47,0.44,0.45,0.24
2017-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.00,0.55,0.47,0.44,0.39,0.38,0.26
2017-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,219.00,0.21,0.37,0.16,0.16,0.10
2017-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.00,0.50,0.55,0.45,0.30
2017-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,285.00,0.71,0.71,0.36
2017-6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,273.00,0.68,0.41
2017-7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210.00,0.44
2017-8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00